author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
Brené Brown,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead
",5.31 x 0.73 x 8 inches,1592408419,978-1592408412,English,320 pages,"April 7, 2015",Avery,,,
Ransom Riggs,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children)
",5.19 x 0.79 x 8.17 inches,9781594746031,978-1594746031,English,382 pages,"June 4, 2013",Quirk Books,890L,14 - 17 years,9 and up
Angela Duckworth,"Grit: The Power of Passion and Perseverance
",,1501111108,978-1501111105,English,352 pages,"May 1, 2016",Scribner Book Company,,,
Colson Whitehead,"The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel
",6.41 x 1.19 x 9.54 inches,0385542364,978-0385542364,English,320 pages,"August 2, 2016",Doubleday,890L,,
J. Kenji López-Alt,"The Food Lab: Better Home Cooking Through Science
",10.8 x 8 x 1.8 inches,0393081087,978-0393081084,English,958 pages,"September 21, 2015",W. W. Norton & Company,,,
Jojo Moyes,"Me Before You: A Novel (Movie Tie-In)
",4.25 x 0.93 x 7.5 inches,0143130153,978-0143130154,English,448 pages,"April 26, 2016",Penguin Books,810,,
Timothy Ferriss,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers
",9 x 7 x 0.08 inches,1328683788,978-1328683786,English,736 pages,"December 6, 2016",Houghton Mifflin Harcourt,,,
Roger Priddy,"First 100 Padded: Numbers, Colors, Shapes
",5.11 x 1.06 x 6.06 inches,9780312510817,978-0312510817,English,24 pages,"May 10, 2011",Priddy Books US,,1 - 3 years,
Thaneeya McArdle,"Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through
",10.88 x 8.5 x 0.25 inches,1574219952,978-1574219951,English,80 pages,"September 1, 2015",Design Originals,,,
Laurel Randolph,"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals
",7.5 x 0.7 x 9.2 inches,1623156122,978-1623156121,English,176 pages,"April 6, 2016",Rockridge Press,,,
Darlene Schacht,"Quieting Your Heart: 6-Month Bible-Study Journal
",8.5 x 0.44 x 11 inches,0995056706,978-0995056701,English,192 pages,"February 19, 2016",,,,
Rick Riordan,"Magnus Chase and the Gods of Asgard, Book 2 The Hammer of Thor (Magnus Chase and the Gods of Asgard, Book 2) (Magnus Chase and the Gods of Asgard, 2)
",6 x 1.5 x 8.75 inches,1423160924,978-1423160922,English,480 pages,"October 4, 2016",Disney-Hyperion,690L,10 - 14 years,5 - 9
Wizards RPG Team,"Player's Handbook (Dungeons & Dragons)
",8.53 x 0.73 x 11.12 inches,0786965606,978-0786965601,English,320 pages,"August 19, 2014",Wizards of the Coast,,12 years and up,
Lois Lowry,"The Giver (1) (Giver Quartet)
",5.5 x 0.68 x 8.25 inches,9780544336261,978-0544336261,English,240 pages,"July 1, 1993",HMH Books for Young Readers,760L,12 years and up,7 - 9
Mark Manson,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
",20.95 x 13.97 x 2.06 inches,0062457713,978-0062457714,English,224 pages,"September 13, 2016",Harper,,,
Jeff Kinney,"The Getaway
",5.75 x 0.88 x 8.38 inches,1419725459,978-1419725456,English,224 pages,"November 7, 2017",Harry N. Abrams,920L,8 - 12 years,3 - 7
Neil deGrasse Tyson,"Astrophysics for People in a Hurry
",7.3 x 4.8 x 0.9 inches,9780393609394,978-0393609394,English,224 pages,"May 2, 2017",W. W. Norton & Company,1250L,,
Margaret Atwood,"The Handmaid's Tale
",5.19 x 0.7 x 8 inches,038549081X,978-0385490818,English,311 pages,"March 16, 1998",Knopf Doubleday Publishing Group,750L,14 - 18 years,
Hillary Rodham Clinton,"What Happened
",6 x 1.4 x 9 inches,1501175564,978-1501175565,English,512 pages,"September 12, 2017",Simon & Schuster,,,
Admiral William H. McRaven,"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World
",5.38 x 0.75 x 7.38 inches,1455570249,978-1455570249,English,144 pages,"April 4, 2017",Grand Central Publishing,,,
Dan Brown,"Origin: A Novel (Robert Langdon)
",6.44 x 1.65 x 9.55 inches,0385514239,978-0385514231,English,480 pages,"October 3, 2017",Doubleday,1020L,,
Rupi Kaur,"The Sun and Her Flowers
",5 x 0.7 x 7.75 inches,1449486797,978-1449486792,English,256 pages,"October 3, 2017",Andrews McMeel Publishing,,,
Sheryl Sandberg,"Option B: Facing Adversity, Building Resilience, and Finding Joy
",5.8 x 1.02 x 9.5 inches,1524732680,978-1524732684,English,240 pages,"April 24, 2017",Knopf,,,
Amor Towles,"A Gentleman in Moscow: A Novel
",6.2 x 1.4 x 9.2 inches,0670026190,978-0670026197,English,480 pages,"September 6, 2016",Viking,,,
Jay Asher,"Thirteen Reasons Why
",5.5 x 0.87 x 8.25 inches,159514188X,978-1595141880,English,288 pages,"June 14, 2011",Razorbill,HL550L,12 - 17 years,7 - 9
Walter Isaacson,"Leonardo da Vinci
",6.13 x 1.5 x 9.25 inches,1501139150,978-1501139154,English,624 pages,"October 17, 2017",Simon & Schuster,,,
Deborah Diesen,"The Pout-Pout Fish
",6.41 x 0.81 x 6.5 inches,0374360979,978-0374360979,English,34 pages,"August 1, 2013","Farrar, Straus and Giroux",NP0L,Baby - 4 years,
,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3)
",9.1 x 1.6 x 10.7 inches,0545791340,978-0545791342,English,336 pages,"October 3, 2017",Arthur A. Levine Books,880L,8 years and up,3 - 6
Adam Gasiewski,"Milk and Vine: Inspirational Quotes From Classic Vines
",6 x 0.18 x 9 inches,1973124262,978-1973124269,English,77 pages,"October 22, 2017",,,,
Ernest Cline,"Ready Player One: A Novel
",5.17 x 0.74 x 7.91 inches,0307887448,978-0307887443,English,384 pages,"June 5, 2012",Ballantine Books,970L,,
Dav Pilkey,"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)
",5.7 x 0.9 x 8.4 inches,0545935210,978-0545935210,English,256 pages,"August 29, 2017",Graphix,GN260L,7 - 9 years,2 - 3
Pete Souza,"Obama: An Intimate Portrait
",10.38 x 1.25 x 12.5 inches,0316512583,978-0316512589,English,352 pages,"November 7, 2017","Little, Brown and Company",,,
David Grann,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI
",6.5 x 1.17 x 9.54 inches,9780385534246,978-0385534246,English,352 pages,"April 18, 2017",Doubleday,1160L,,
Liane Moriarty,"Big Little Lies
",5.5 x 1.04 x 8.23 inches,0425274861,978-0425274866,English,512 pages,"August 11, 2015",Berkley,,,
The College Board,"The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)
",,,,,,,,,,
Melissa Hartwig Urban,"The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond
",8 x 0.96 x 9 inches,0544854411,978-0544854413,English,320 pages,"December 6, 2016",Houghton Mifflin Harcourt,,,
Heidi Murkoff,"What to Expect When You're Expecting
",,0761187480,978-0761187486,English,656 pages,"May 1, 2016",Workman Publishing,,,
Oprah Winfrey,"The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations
",6.81 x 1.03 x 8.32 inches,125013806X,978-1250138064,English,240 pages,"October 17, 2017",Flatiron Books,,,
,"P is for Potty! (Sesame Street) (Lift-the-Flap)
",8 x 0.29 x 9 inches,9780385383691,978-0385383691,English,12 pages,"July 22, 2014",Random House Books for Young Readers,,Baby - 3 years,
John Grisham,"The Rooster Bar
",6.44 x 1.2 x 9.5 inches,0385541171,978-0385541176,English,368 pages,"October 24, 2017",Doubleday,,,
Shel Silverstein,"The Giving Tree
",7.5 x 0.38 x 10 inches,9780060256654,,English,57 pages,"January 1, 1964",Harper & Row,530L,1 - 8 years,2 - 3
Chelsea Clinton,"She Persisted: 13 American Women Who Changed the World
",9.38 x 0.37 x 11.31 inches,9781524741723,978-1524741723,English,32 pages,"May 30, 2017",Philomel Books,NC1170L,4 - 8 years,Preschool - 3
Timothy Snyder,"On Tyranny: Twenty Lessons from the Twentieth Century
",4.32 x 0.29 x 6.23 inches,0804190119,978-0804190114,English,128 pages,"February 28, 2017",,,,
John Grisham,"Camino Island: A Novel
",6.37 x 1.14 x 9.53 inches,0385543026,978-0385543026,English,304 pages,"June 6, 2017",Doubleday,860L,,
John Green,"Turtles All the Way Down
",5.81 x 1.06 x 8.5 inches,0525555366,978-0525555360,English,304 pages,"October 10, 2017",Dutton Books for Young Readers,840L,14 years and up,9 - 12
Ree Drummond,"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives
",1.5 x 8.4 x 9.9 inches,,,English,400 pages,"October 24, 2017",William Morrow Cookbooks,,,
Ron Chernow,"Grant
",6.4 x 2.15 x 9.55 inches,9781594204876,978-1594204876,English,1104 pages,"October 10, 2017",Penguin Press,,,
Yuval Noah Harari,"Sapiens: A Brief History of Humankind
",1.7 x 6.1 x 9.1 inches,9780062316097,,English,464 pages,"February 10, 2015",Harper,,,
Benjamin Graham,"The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)
",5.31 x 1.6 x 8 inches,9780060555665,,English,640 pages,"February 21, 2006",Harper Business,,,
,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)
",6.5 x 9.25 x 1 inches,006242713X,978-0062427137,English,416 pages,"April 25, 2017",Harper Wave,,,
Rick Riordan,"The Trials of Apollo Book Two The Dark Prophecy (Trials of Apollo, 2)
",6 x 1.38 x 8.5 inches,1484746422,978-1484746424,English,432 pages,"May 2, 2017",Disney-Hyperion,700L,10 - 14 years,5 - 9
Nicola Yoon,"Everything, Everything
",5.47 x 0.76 x 8.23 inches,0553496670,978-0553496673,English,352 pages,"March 7, 2017",Ember,HL610L,12 - 17 years,7 - 9
Simon Sinek,"Start with Why: How Great Leaders Inspire Everyone to Take Action
",5.3 x 0.66 x 7.99 inches,9781591846444,978-1591846444,English,256 pages,"December 27, 2011",Portfolio,,,
Neil Gaiman,"Norse Mythology
",5.8 x 1.2 x 8.6 inches,039360909X,978-0393609097,English,304 pages,"February 7, 2017",W. W. Norton & Company,830L,,
Mark Sullivan,"Beneath a Scarlet Sky: A Novel
",5.5 x 1 x 8.25 inches,1503943372,978-1503943377,English,523 pages,"May 1, 2017",Lake Union Publishing,,,
Dav Pilkey,"Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2)
",5.7 x 0.8 x 8.4 inches,0545935202,978-0545935203,English,224 pages,"December 27, 2016",Graphix,GN320L,7 - 9 years,2 - 3
Martha Hall Kelly,"Lilac Girls: A Novel (Woolsey-Ferriday)
",5.2 x 1.08 x 8 inches,1101883081,978-1101883082,English,576 pages,"February 28, 2017",Ballantine Books,,,
Rick Riordan,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead (Magnus Chase and the Gods of Asgard, Book 3) (Magnus Chase and the Gods of Asgard, 3)
",5.88 x 1.38 x 8.63 inches,1423160932,978-1423160939,English,432 pages,"October 3, 2017",Disney-Hyperion,HL710L,10 - 14 years,5 - 9
Al Franken,"Al Franken, Giant of the Senate
",6.5 x 1.5 x 9.25 inches,1455540412,978-1455540419,English,416 pages,"May 30, 2017",Twelve,,,
Ray Dalio,"Principles: Life and Work
",6 x 1.6 x 9 inches,1501124021,978-1501124020,English,592 pages,"September 19, 2017",Simon & Schuster,,,
Amy Ramos,"The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle
",7.4 x 0.5 x 9.1 inches,1623158087,978-1623158088,English,158 pages,"December 20, 2016",Rockridge Press,,,
Dave Ramsey,"The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness
",7.5 x 0.76 x 9.63 inches,9781595555274,,English,272 pages,"September 17, 2013",Thomas Nelson,,,
Bill O'Reilly,"Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series)
",6.5 x 1.22 x 9.49 inches,1627790640,978-1627790642,English,352 pages,"September 19, 2017",Henry Holt and Co.,,,
Andrea Beaty,"Rosie Revere, Engineer (The Questioneers)
",9.35 x 0.63 x 11.3 inches,1419708457,978-1419708459,English,32 pages,"September 3, 2013",Harry N. Abrams,AD780L,5 years and up,Kindergarten and up
Michelle Obama,"Becoming
",6.44 x 1.26 x 9.54 inches,1524763136,978-1524763138,English,448 pages,"November 13, 2018",Crown,1170L,,
Rachel Hollis,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be
",5.88 x 1 x 8.75 inches,9781400201655,,English,240 pages,"February 6, 2018",Thomas Nelson,,,
Craig Smith,"The Wonky Donkey
",8.8 x 0.2 x 8.6 inches,0545261244,978-0545261241,English,24 pages,"May 1, 2010",Scholastic Paperbacks,AD990L,3 - 5 years,Preschool - Kindergarten
Michael Wolff,"Fire and Fury: Inside the Trump White House
",6.45 x 1.12 x 9.5 inches,1250158060,978-1250158062,English,321 pages,"January 5, 2018",Henry Holt and Co.,,,
Bob Woodward,"Fear: Trump in the White House
",6 x 1.2 x 9 inches,1501175513,978-9526532998,English,448 pages,"September 11, 2018",Simon & Schuster,,,
Jill Twiss,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)
",10.25 x 0.5 x 10.25 inches,145217380X,978-1452173801,English,40 pages,"March 18, 2018",Chronicle Books,,6 - 8 years,1 - 3
Jordan B. Peterson,"12 Rules for Life: An Antidote to Chaos
",6.4 x 1.3 x 9.2 inches,0345816021,978-0345816023,English,409 pages,"January 23, 2018",Random House Canada,,,
Joanna Gaines,"Magnolia Table
",10 x 8 x 1.5 inches,9780062820150,,English,336 pages,"April 24, 2018",William Morrow Cookbooks,,,
The Staff of The Late Show with Stephen Colbert,"Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane
",10 x 0.5 x 8 inches,1982121084,978-1982121082,English,24 pages,"November 6, 2018",Simon & Schuster,,,
James Comey,"A Higher Loyalty: Truth, Lies, and Leadership
",9.4 x 6.12 x 8 inches,1250192455,978-1250192455,English,312 pages,"April 17, 2018",Flatiron Books,,,
Jeff Kinney,"Diary of a Wimpy Kid #13: Meltdown
",5.75 x 0.75 x 8.25 inches,1419727435,978-1419727436,English,224 pages,"October 30, 2018",Harry N. Abrams,960L,8 - 12 years,3 - 7
Dav Pilkey,"Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5)
",5.7 x 0.9 x 8.3 inches,0545935172,978-0545935173,English,256 pages,"August 28, 2018",Graphix,GN530L,7 years and up,2 - 3
Tara Westover,"Educated: A Memoir
",6.3 x 1 x 9.4 inches,,978-0399590504,English,352 pages,"February 20, 2018",Random House,870L,,
Joanna Gaines,"Homebody: A Guide to Creating Spaces You Never Want to Leave
",8.5 x 1.32 x 10.88 inches,006280197X,978-0062801975,English,352 pages,"November 6, 2018",Harper Design,,,
Kevin Kwan,"Crazy Rich Asians (Crazy Rich Asians Trilogy)
",5.17 x 0.92 x 7.92 inches,9780345803788,978-0345803788,English,544 pages,"May 20, 2014",Anchor,950L,,
Angie Thomas,"The Hate U Give
",8.3 x 5.9 x 1.6 inches,0062498533,978-0062498533,English,464 pages,"February 28, 2017",Balzer + Bray,HL590L,14 - 17 years,9 - 12
,"Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering
",8 x 0.26 x 10 inches,1948209004,978-1948209007,English,112 pages,"October 27, 2017",,,,
Dav Pilkey,"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)
",5.7 x 0.9 x 8.3 inches,0545935180,978-0545935180,English,256 pages,"December 26, 2017",Graphix,GN270L,7 - 9 years,2 - 3
Samin Nosrat,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking
",7.38 x 1.4 x 9.13 inches,1476753830,978-1476753836,English,480 pages,"April 25, 2017",Simon and Schuster,,,
Madeleine L'Engle,"A Wrinkle in Time (Time Quintet)
",5.25 x 0.64 x 7.75 inches,0312367546,978-0312367541,English,256 pages,"May 1, 2007",Square Fish,740L,10 - 14 years,6 - 9
Dav Pilkey,"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)
",5.7 x 0.8 x 8.3 inches,1338236571,978-1338236576,English,224 pages,"December 24, 2018",Graphix,GN260L,7 years and up,2 - 3
Jennifer Smith,"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.
",8.5 x 0.31 x 11 inches,1727408403,978-1727408409,English,135 pages,"September 20, 2018",,,,
Celeste Ng,"Little Fires Everywhere
",6.28 x 1.26 x 9.28 inches,9780735224292,978-0735224292,English,352 pages,"September 12, 2017",Penguin Press,1000L,,
Anthony Bourdain,"Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)
",5.31 x 0.79 x 8 inches,9780060899226,,English,312 pages,"January 9, 2007",Ecco,,,
James Patterson,"The President Is Missing: A Novel
",2 x 10 x 8 inches,0316412694,978-0316412698,English,528 pages,"June 4, 2018","Little, Brown and Company",,,
School Zone,"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)
",7.7 x 0.8 x 10.6 inches,0887431453,978-0887431456,English,320 pages,"June 7, 2018",School Zone Publishing,,3 - 5 years,
,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)
",7.38 x 0.9 x 9.12 inches,0062843370,978-0062843371,English,288 pages,"April 10, 2018",Harper Wave,,,
Tucker Carlson,"Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution
",5.5 x 0.9 x 8.38 inches,1501183664,978-1501183669,English,256 pages,"October 2, 2018",Free Press,,,
Harper Lee,"To Kill a Mockingbird
",7.9 x 5.3 x 0.9 inches,0060935464,978-0060935467,English,336 pages,"January 1, 2002",Harper Perennial,790L,,
Leanne Vogel,"The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence
",8 x 1.1 x 10 inches,1628600160,978-1628600162,English,448 pages,"April 11, 2017",Victory Belt Publishing,,,
Bob Goff,"Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People
",5.5 x 0.6 x 8.5 inches,0718078136,978-0718078133,English,240 pages,"March 27, 2018",Nelson Books,,,
Lisa Wingate,"Before We Were Yours: A Novel
",6.47 x 1.1 x 9.48 inches,0425284689,978-0425284681,English,352 pages,"June 6, 2017",Ballantine Books,HL760L,,
John Grisham,"The Reckoning: A Novel
",6.36 x 1.43 x 9.5 inches,9780385544153,978-0385544153,English,432 pages,"October 23, 2018",Doubleday,,,
Anthony William,"Medical Medium Liver Rescue
",7.88 x 1.28 x 9.44 inches,1401954405,978-1401954406,English,496 pages,"October 30, 2018",Hay House Inc.,,,
Stephen King,"The Outsider: A Novel
",6.13 x 1.7 x 9.25 inches,1501180983,978-1501180989,English,576 pages,"May 22, 2018",Scribner,HL800L,,
Delia Owens,"Where the Crawdads Sing
",6.35 x 1.42 x 9.24 inches,0735219095,978-0735219090,English,384 pages,"August 14, 2018",G.P. Putnam's Sons,880L,,
Wizards RPG Team,"Dungeons & Dragons Dungeon Master's Guide (Core Rulebook, D&D Roleplaying Game)
",8.51 x 0.85 x 11.17 inches,9780786965625,978-0786965625,English,320 pages,"December 9, 2014",Wizards of the Coast,,12 years and up,
Yuval Noah Harari,"Sapiens: A Brief History of Humankind
",1.4 x 5.9 x 8.9 inches,9780062316110,978-0062316110,English,464 pages,"May 15, 2018",Harper Perennial,,,
A. J. Finn,"The Woman in the Window: A Novel
",6 x 1.37 x 9 inches,9780062678416,978-0062678416,English,448 pages,"January 2, 2018",William Morrow,,,
Wizards RPG Team,"Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game)
",8.54 x 0.86 x 11.14 inches,0786966750,978-0786965618,English,352 pages,"September 30, 2014",Wizards of the Coast,,14 years and up,
Suzanne Ryan,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes (1)
",8 x 0.9 x 10 inches,1628602635,978-1628602630,English,336 pages,"December 12, 2017",Victory Belt Publishing,,,
Jocko Willink,"Extreme Ownership: How U.S. Navy SEALs Lead and Win
",5.88 x 1.34 x 8.6 inches,9781250183866,978-1250183866,English,384 pages,"November 1, 2017",St. Martin's Press,,,
Gregg Jarrett,"The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump
",6 x 1.13 x 9 inches,9780062872746,,English,352 pages,"July 24, 2018",Broadside Books,,,
Dan Green,"How to Draw 101 Animals (1)
",8.5 x 0.2 x 11 inches,1842297406,978-1842297407,English,48 pages,"July 1, 2003",Imagine That,,5 years and up,3 - 4
Jen Fisch,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet
",7.4 x 0.7 x 9.1 inches,1939754445,978-1939754448,English,210 pages,"January 9, 2018",Rockridge Press,,,
Brianna Caplan Sayres,"Where Do Diggers Sleep at Night? (Where Do...Series)
",6 x 0.52 x 7.5 inches,0385374151,978-0385374156,English,26 pages,"June 24, 2014",Random House Books for Young Readers,820L,2 - 5 years,
Reese Witherspoon,"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits
",7.38 x 1.1 x 9.19 inches,1501166271,978-1501166273,English,304 pages,"September 18, 2018",Atria Books,,,
Viktor E. Frankl,"Man's Search for Meaning (OLD EDITION/OUT OF PRINT)
",4.15 x 0.49 x 6.72 inches,9780807014295,978-0807014295,English,184 pages,"June 1, 2006",Beacon Press,,,
Kristin Hannah,"The Great Alone: A Novel
",6.43 x 1.46 x 9.59 inches,0312577230,978-0312577230,English,448 pages,"February 6, 2018",St. Martin's Press,,,
Chrissy Teigen,"Cravings: Hungry for More: A Cookbook
",8.25 x 0.9 x 10.25 inches,1524759724,978-1524759728,English,256 pages,"September 18, 2018",Clarkson Potter,,,
,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma
",1.1 x 5.4 x 8.4 inches,0143127748,978-0143127741,English,464 pages,"September 8, 2015",Penguin Publishing Group,,18 years and up,
Lin-Manuel Miranda,"Gmorning, Gnight!: Little Pep Talks for Me & You
",5.23 x 0.95 x 7.82 inches,1984854275,978-1984854278,English,224 pages,"October 16, 2018",Random House,,,
Robert T. Kiyosaki,"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!
",4.2 x 1.1 x 6.7 inches,1612680194,978-1612680194,English,336 pages,"April 11, 2017",Plata Publishing,,,
Wizards RPG Team,"Xanathar's Guide to Everything (Dungeons & Dragons)
",8.53 x 0.57 x 11.11 inches,0786966114,978-0786966110,English,192 pages,"November 21, 2017",Wizards of the Coast,,14 years and up,
Dav Pilkey,"Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)
",5.7 x 0.8 x 8.3 inches,1338236598,978-1338236590,English,240 pages,"August 13, 2019",Graphix,GN550L,7 years and up,2 - 4
Dav Pilkey,"Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)
",5.7 x 0.8 x 8.3 inches,1338323210,978-1338323214,English,240 pages,"December 10, 2019",Graphix,GN290L,7 years and up,2 - 6
Jeff Kinney,"Wrecking Ball (Diary of a Wimpy Kid Book 14)
",5.63 x 0.88 x 8.25 inches,1419739034,978-1419739033,English,224 pages,"November 5, 2019",Harry N. Abrams,940L,8 - 12 years,3 - 7
Rachel Hollis,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals
",5.5 x 1 x 8.5 inches,1400209609,978-1400209606,English,216 pages,"March 5, 2019",Harpercollins Leadership,,,
M Prefontaine,"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love
",6 x 0.18 x 9 inches,1546595902,978-1546595908,English,79 pages,"May 17, 2017",,,Baby and up,
Adir Levy,"What Should Danny Do? (The Power to Choose Series)
",,069284838X,978-0692848388,English,68 pages,"May 1, 2017",Elon Books,580L,3 years and up,
Lysa TerKeurst,"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered
",5.88 x 0.88 x 8.75 inches,0718039858,978-0718039851,English,256 pages,"November 13, 2018",Thomas Nelson,,,
Hopscotch Girls,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls
",,0692927999,978-0692927991,English,24 pages,"November 13, 2017",Hopscotch Girls,,3 years and up,
Mark R. Levin,"Unfreedom of the Press
",5.5 x 0.9 x 8.38 inches,1476773092,978-1476773094,English,272 pages,"May 21, 2019",Threshold Editions,,,
Howard Stern,"Howard Stern Comes Again
",7.38 x 1.4 x 9.13 inches,1501194291,978-1501194290,English,560 pages,"May 14, 2019",Simon & Schuster,,,
Raina Telgemeier,"Guts
",5.5 x 0.8 x 7.9 inches,0545852501,978-0545852500,English,224 pages,"September 17, 2019",Graphix,GN480L,8 - 12 years,3 - 7
J. K. Rowling,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)
",9.2 x 1.7 x 10.6 inches,0545791421,978-0545791427,English,464 pages,"October 8, 2019",Arthur A. Levine Books,880L,8 years and up,3 - 6
Amy Shields,"National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)
",10.15 x 0.65 x 10.1 inches,9781426307935,,English,128 pages,"May 10, 2011",National Geographic Kids,NC630L,3 - 7 years,Preschool - 2
,"Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal
",6 x 0.27 x 9 inches,1976436184,978-1976436185,English,118 pages,"September 16, 2017",,,,
Silly Bear,"Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books)
",8.5 x 0.23 x 11 inches,1999896963,978-1999896966,English,102 pages,"June 6, 2018",,,4 - 8 years,
Nathan W. Pyle,"Strange Planet (Strange Planet Series)
",6 x 0.57 x 6 inches,,,English,144 pages,"November 19, 2019",Morrow Gift,,,
Alex Michaelides,"The Silent Patient
",6.83 x 1.21 x 9.53 inches,1250301696,978-1250301697,English,336 pages,"February 5, 2019",Celadon Books,,,
National Geographic Kids,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)
",9.55 x 0.85 x 12.25 inches,9781426310492,,English,224 pages,"August 14, 2012",National Geographic Kids,1060L,8 - 12 years,3 - 7
Crispin Boyer,"National Geographic Kids Why?: Over 1,111 Answers to Everything
",9.3 x 0.8 x 12 inches,9781426320965,978-1426320965,English,192 pages,"October 13, 2015",National Geographic Kids,IG1150L,8 - 12 years,3 - 7
David Goggins,"Can't Hurt Me: Master Your Mind and Defy the Odds
",,1544512287,978-1544512280,English,364 pages,"December 4, 2018",Lioncrest Publishing,,,
John Grisham,"The Guardians: A Novel
",6.41 x 1.37 x 9.58 inches,0385544189,978-0385544184,English,384 pages,"October 15, 2019",Doubleday,,,
Dinah Bucholz,"The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook)
",7 x 0.9 x 9.13 inches,1440503257,978-1440503252,English,256 pages,"September 18, 2010",Adams Media,,9 - 18 years,4 - 6
